"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","APR THRU JUN","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","1,500",""
"SURVEY","2022","APR THRU JUN","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","4,300",""
"SURVEY","2022","APR THRU JUN","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","3,200",""
"SURVEY","2022","APR THRU JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","107,000",""
"SURVEY","2022","APR THRU JUN","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","1,400",""
"SURVEY","2022","APR THRU JUN","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2022","APR THRU JUN","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","46,000",""
"SURVEY","2022","APR THRU JUN","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","26,000",""
"SURVEY","2022","APR THRU JUN","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","19,000",""
"SURVEY","2022","APR THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","1,100",""
"SURVEY","2022","APR THRU JUN","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","1,600",""
"SURVEY","2022","APR THRU JUN","","STATE","IOWA","19","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","2,300",""
